Time (s)	Position (m)
8.680000	-0.183419
8.690000	-0.182769
8.700000	-0.182118
8.710000	-0.181465
8.720000	-0.180810
8.730000	-0.180153
8.740000	-0.179495
8.750000	-0.178835
8.760000	-0.178173
8.770000	-0.177510
8.780000	-0.176845
8.790000	-0.176178
8.800000	-0.175510
8.810000	-0.174840
8.820000	-0.174169
8.830000	-0.173496
8.840000	-0.172822
8.850000	-0.172146
8.860000	-0.171469
8.870000	-0.170791
8.880000	-0.170111
8.890000	-0.169429
8.900000	-0.168747
8.910000	-0.168062
8.920000	-0.167377
8.930000	-0.166690
8.940000	-0.166003
8.950000	-0.165313
8.960000	-0.164623
8.970000	-0.163931
8.980000	-0.163239
8.990000	-0.162545
9.000000	-0.161849
9.010000	-0.161153
9.020000	-0.160456
9.030000	-0.159758
9.040000	-0.159058
9.050000	-0.158358
9.060000	-0.157656
9.070000	-0.156954
9.080000	-0.156250
9.090000	-0.155546
9.100000	-0.154840
9.110000	-0.154134
9.120000	-0.153427
9.130000	-0.152719
9.140000	-0.152010
9.150000	-0.151300
9.160000	-0.150590
9.170000	-0.149878
9.180000	-0.149166
9.190000	-0.148453
9.200000	-0.147740
9.210000	-0.147026
9.220000	-0.146311
9.230000	-0.145595
9.240000	-0.144879
9.250000	-0.144162
9.260000	-0.143444
9.270000	-0.142726
9.280000	-0.142007
9.290000	-0.141288
9.300000	-0.140569
9.310000	-0.139848
9.320000	-0.139127
9.330000	-0.138406
9.340000	-0.137685
9.350000	-0.136962
9.360000	-0.136240
9.370000	-0.135517
9.380000	-0.134794
9.390000	-0.134070
9.400000	-0.133346
9.410000	-0.132622
9.420000	-0.131897
9.430000	-0.131172
9.440000	-0.130447
9.450000	-0.129721
9.460000	-0.128996
9.470000	-0.128270
9.480000	-0.127544
9.490000	-0.126818
9.500000	-0.126091
9.510000	-0.125365
9.520000	-0.124638
9.530000	-0.123911
9.540000	-0.123184
9.550000	-0.122457
9.560000	-0.121730
9.570000	-0.121003
9.580000	-0.120276
9.590000	-0.119549
9.600000	-0.118823
9.610000	-0.118096
9.620000	-0.117369
9.630000	-0.116642
9.640000	-0.115915
9.650000	-0.115189
9.660000	-0.114462
9.670000	-0.113736
9.680000	-0.113010
9.690000	-0.112284
9.700000	-0.111558
9.710000	-0.110832
9.720000	-0.110107
9.730000	-0.109382
9.740000	-0.108657
9.750000	-0.107932
9.760000	-0.107208
9.770000	-0.106484
9.780000	-0.105760
9.790000	-0.105037
9.800000	-0.104314
9.810000	-0.103591
9.820000	-0.102869
9.830000	-0.102147
9.840000	-0.101426
9.850000	-0.100705
9.860000	-0.099984
9.870000	-0.099264
9.880000	-0.098544
9.890000	-0.097825
9.900000	-0.097107
9.910000	-0.096389
9.920000	-0.095671
9.930000	-0.094954
9.940000	-0.094238
9.950000	-0.093522
9.960000	-0.092807
9.970000	-0.092092
9.980000	-0.091378
9.990000	-0.090665
10.000000	-0.089952
10.010000	-0.089240
10.020000	-0.088529
10.030000	-0.087818
10.040000	-0.087109
10.050000	-0.086399
10.060000	-0.085691
10.070000	-0.084983
10.080000	-0.084277
10.090000	-0.083571
10.100000	-0.082865
10.110000	-0.082161
10.120000	-0.081457
10.130000	-0.080754
10.140000	-0.080053
10.150000	-0.079351
10.160000	-0.078651
10.170000	-0.077952
10.180000	-0.077254
10.190000	-0.076556
10.200000	-0.075860
10.210000	-0.075164
10.220000	-0.074470
10.230000	-0.073776
10.240000	-0.073083
10.250000	-0.072392
10.260000	-0.071701
10.270000	-0.071012
10.280000	-0.070323
10.290000	-0.069635
10.300000	-0.068949
10.310000	-0.068264
10.320000	-0.067579
10.330000	-0.066896
10.340000	-0.066214
10.350000	-0.065533
10.360000	-0.064853
10.370000	-0.064175
10.380000	-0.063497
10.390000	-0.062821
10.400000	-0.062146
10.410000	-0.061472
10.420000	-0.060799
10.430000	-0.060127
10.440000	-0.059457
10.450000	-0.058788
10.460000	-0.058120
10.470000	-0.057454
10.480000	-0.056788
10.490000	-0.056124
10.500000	-0.055462
10.510000	-0.054800
10.520000	-0.054140
10.530000	-0.053481
10.540000	-0.052824
10.550000	-0.052168
10.560000	-0.051513
10.570000	-0.050860
10.580000	-0.050208
10.590000	-0.049557
10.600000	-0.048908
10.610000	-0.048260
10.620000	-0.047614
10.630000	-0.046969
10.640000	-0.046325
10.650000	-0.045683
10.660000	-0.045042
10.670000	-0.044403
10.680000	-0.043766
10.690000	-0.043129
10.700000	-0.042495
10.710000	-0.041862
10.720000	-0.041230
10.730000	-0.040600
10.740000	-0.039971
10.750000	-0.039344
10.760000	-0.038718
10.770000	-0.038094
10.780000	-0.037472
10.790000	-0.036851
10.800000	-0.036232
10.810000	-0.035614
10.820000	-0.034998
10.830000	-0.034384
10.840000	-0.033771
10.850000	-0.033160
10.860000	-0.032550
10.870000	-0.031942
10.880000	-0.031336
10.890000	-0.030731
10.900000	-0.030128
10.910000	-0.029527
10.920000	-0.028928
10.930000	-0.028330
10.940000	-0.027733
10.950000	-0.027139
10.960000	-0.026546
10.970000	-0.025955
10.980000	-0.025366
10.990000	-0.024778
11.000000	-0.024192
11.010000	-0.023608
11.020000	-0.023026
11.030000	-0.022445
11.040000	-0.021866
11.050000	-0.021289
11.060000	-0.020714
11.070000	-0.020140
