Time (s)	Position (m)
10.740000	-0.039902
10.750000	-0.039283
10.760000	-0.038666
10.770000	-0.038051
10.780000	-0.037437
10.790000	-0.036824
10.800000	-0.036213
10.810000	-0.035604
10.820000	-0.034996
10.830000	-0.034390
10.840000	-0.033786
10.850000	-0.033183
10.860000	-0.032582
10.870000	-0.031982
10.880000	-0.031384
10.890000	-0.030787
10.900000	-0.030193
10.910000	-0.029600
10.920000	-0.029008
10.930000	-0.028418
10.940000	-0.027830
10.950000	-0.027244
10.960000	-0.026659
10.970000	-0.026076
10.980000	-0.025495
10.990000	-0.024915
11.000000	-0.024337
11.010000	-0.023761
11.020000	-0.023187
11.030000	-0.022614
11.040000	-0.022043
11.050000	-0.021474
11.060000	-0.020907
11.070000	-0.020341
11.080000	-0.019777
11.090000	-0.019215
11.100000	-0.018655
11.110000	-0.018096
11.120000	-0.017540
11.130000	-0.016985
11.140000	-0.016432
11.150000	-0.015880
11.160000	-0.015331
11.170000	-0.014783
11.180000	-0.014238
11.190000	-0.013694
11.200000	-0.013152
11.210000	-0.012611
11.220000	-0.012073
11.230000	-0.011536
11.240000	-0.011002
11.250000	-0.010469
11.260000	-0.009938
11.270000	-0.009409
11.280000	-0.008882
11.290000	-0.008357
11.300000	-0.007833
11.310000	-0.007312
11.320000	-0.006792
11.330000	-0.006275
11.340000	-0.005759
11.350000	-0.005245
11.360000	-0.004734
11.370000	-0.004224
11.380000	-0.003716
11.390000	-0.003210
11.400000	-0.002706
11.410000	-0.002204
11.420000	-0.001704
11.430000	-0.001205
11.440000	-0.000709
11.450000	-0.000215
11.460000	0.000277
11.470000	0.000768
11.480000	0.001256
11.490000	0.001742
11.500000	0.002227
11.510000	0.002709
11.520000	0.003190
11.530000	0.003668
11.540000	0.004144
11.550000	0.004619
11.560000	0.005091
11.570000	0.005561
11.580000	0.006030
11.590000	0.006496
11.600000	0.006960
11.610000	0.007423
11.620000	0.007883
11.630000	0.008341
11.640000	0.008797
11.650000	0.009251
11.660000	0.009703
11.670000	0.010154
11.680000	0.010602
11.690000	0.011048
11.700000	0.011491
11.710000	0.011933
11.720000	0.012373
11.730000	0.012811
11.740000	0.013247
